DistrictID,DistrictName,ProvinceID,ProvinceName,Region,GID_2,GID_1,NAME_1,NAME_2,GADM_Latitude,GADM_Longitude,Population,Population_Density,Area,Is Strategic Zone Hub,Est Merchant 2026,Distributor Code,Distributor Name,SO,SO OFF,AO M06,Amount (Tax) M06,AO OFF M06,Amount (Tax) OFF M06,AO M05,Amount (Tax) M05,AO OFF M05,Amount (Tax) OFF M05
27448,Bình Trị Đông,79,TP. Hồ Chí Minh,HCM,Bình Trị Đông,TP. Hồ Chí Minh,Bình Trị Đông,TP. Hồ Chí Minh,10.773918,106.607002,162647,22747.83217,7.15,0,2033,0,0,0,0,0,0,0,0,0,0,0,0
27097,Bình Trưng,79,TP. Hồ Chí Minh,HCM,Bình Trưng_27097,TP. Hồ Chí Minh,Bình Trưng_27097,TP. Hồ Chí Minh,10.799204,106.766358,119548,8066.666667,14.82,0,1494,0,0,0,0,0,0,0,0,0,0,0,0
27664,Cần Giờ,79,TP. Hồ Chí Minh,HCM,Cần Giờ,TP. Hồ Chí Minh,Cần Giờ,TP. Hồ Chí Minh,10.454757,106.900903,2672,17.01802433,157.01,0,33,0,0,0,0,0,0,0,0,0,0,0,0
27112,Cát Lái,79,TP. Hồ Chí Minh,HCM,Cát Lái,TP. Hồ Chí Minh,Cát Lái,TP. Hồ Chí Minh,10.762324,106.777683,67617,3441.068702,19.65,0,845,0,0,0,0,0,0,0,0,0,0,0,0
27058,Cầu Kiệu,79,TP. Hồ Chí Minh,HCM,Cầu Kiệu,TP. Hồ Chí Minh,Cầu Kiệu,TP. Hồ Chí Minh,10.798242,106.685469,61716,50175.60976,1.23,0,771,0,0,0,0,0,0,0,0,0,0,0,0
26758,Cầu Ông Lãnh,79,TP. Hồ Chí Minh,HCM,Cầu Ông Lãnh,TP. Hồ Chí Minh,Cầu Ông Lãnh,TP. Hồ Chí Minh,10.761771,106.690022,77545,48465.625,1.6,0,969,0,0,0,0,0,0,0,0,0,0,0,0
25771,Chánh Hiệp,79,TP. Hồ Chí Minh,HCM,Chánh Hiệp,TP. Hồ Chí Minh,Chánh Hiệp,TP. Hồ Chí Minh,11.018008,106.641646,55535,2824.771109,19.66,0,694,0,0,0,0,0,0,0,0,0,0,0,0
27418,Chánh Hưng,79,TP. Hồ Chí Minh,HCM,Chánh Hưng,TP. Hồ Chí Minh,Chánh Hưng,TP. Hồ Chí Minh,10.742165,106.676718,187826,40743.16703,4.61,0,2347,0,0,0,0,0,0,0,0,0,0,0,0
25837,Chánh Phú Hòa,79,TP. Hồ Chí Minh,HCM,Chánh Phú Hòa,TP. Hồ Chí Minh,Chánh Phú Hòa,TP. Hồ Chí Minh,11.188011,106.669734,53102,763.6180615,69.54,0,663,0,0,0,0,0,0,0,0,0,0,0,0
26596,Châu Đức,79,TP. Hồ Chí Minh,HCM,Châu Đức,TP. Hồ Chí Minh,Châu Đức,TP. Hồ Chí Minh,10.72788,107.213141,2781,32.84904323,84.66,0,34,0,0,0,0,0,0,0,0,0,0,0,0
26728,Châu Pha,79,TP. Hồ Chí Minh,HCM,Châu Pha,TP. Hồ Chí Minh,Châu Pha,TP. Hồ Chí Minh,10.580708,107.134025,26980,437.7738115,61.63,0,337,0,0,0,0,0,0,0,0,0,0,0,0
